Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,month,functioning_day_numeric,Holiday_numeric,Visibility Bin,Visibility Sub Bin,Combined Visibility Bin,Wind Speed Bin
2017-12-01,451,13,-0.8933873672578042,25,1.6,2000,-15.6,0.6465502362660211,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.3, 1.6]"
2017-12-01,447,14,-0.8447694017321224,26,2.0,2000,-14.6,0.4772749363670078,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.8, 2.2]"
2017-12-01,463,15,-0.9176963500206452,36,3.2,2000,-11.4,-0.05312100331656776,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.6, 3.2]"
2017-12-01,484,16,-0.9906232983091681,54,1.5,793,-7.0,-0.39167160311459476,0.0,0.0,Winter,No Holiday,Yes,12,1,0,452 - 804,,452 - 804,"(1.3, 1.6]"
2017-12-01,555,17,-1.0230352753262892,58,1.6,2000,-6.5,-0.5722319230068759,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.3, 1.6]"
2017-12-01,862,18,-1.0392412638348498,66,1.4,2000,-5.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.3, 1.6]"
2017-12-01,600,19,-1.0878592293605318,77,1.7,2000,-3.5,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.6, 1.8]"
2017-12-01,426,20,-1.1121682121233727,79,1.5,1913,-3.5,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(1.3, 1.6]"
2017-12-01,405,21,-0.1398089016097356,81,0.8,1687,-3.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1464 - 1741,,1464 - 1741,"(0.6, 0.9]"
2017-12-01,398,22,-0.1236029131011749,83,1.5,1380,-3.4,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.3, 1.6]"
2017-12-01,323,23,-0.1398089016097356,84,1.8,1265,-3.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.6, 1.8]"
2017-12-02,328,0,-0.1398089016097356,87,1.1,994,-3.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,804 - 1134,,804 - 1134,"(0.9, 1.1]"
2017-12-02,308,1,-1.2661251029546985,86,0.6,990,-4.2,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,804 - 1134,,804 - 1134,"(-0.001, 0.6]"
2017-12-02,262,2,-1.3228460627346605,86,1.5,1256,-4.9,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.3, 1.6]"
2017-12-02,167,3,-1.3714640282603425,81,2.2,1221,-6.2,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.8, 2.2]"
2017-12-02,89,4,-1.3957730110231834,79,2.0,1167,-6.9,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.8, 2.2]"
2017-12-02,79,5,-1.411978999531744,79,1.5,1202,-7.1,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.3, 1.6]"
2017-12-02,70,6,-1.3957730110231834,82,2.1,1178,-6.9,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.8, 2.2]"
2017-12-02,146,7,-1.4443909765488652,81,2.5,1276,-7.1,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(2.2, 2.6]"
2017-12-02,219,8,-1.4281849880403046,79,2.1,1436,-7.3,-0.6512270629597487,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.8, 2.2]"
2017-12-02,328,9,-1.3228460627346605,68,1.6,1487,-7.9,-0.32396148315498935,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1464 - 1741,,1464 - 1741,"(1.3, 1.6]"
2017-12-02,334,10,-1.120271206377653,57,1.6,1309,-7.8,0.24028951650838895,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.3, 1.6]"
2017-12-02,388,11,-0.9339023385292058,49,1.8,1406,-7.7,0.4659899163737402,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.6, 1.8]"
2017-12-02,479,12,-0.7394304764264784,41,1.3,1666,-7.8,0.5675550963131484,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1464 - 1741,,1464 - 1741,"(1.1, 1.3]"
2017-12-02,606,13,-0.6016795741037132,36,1.8,1780,-7.9,0.6014101562929511,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1741 - 1908,,1741 - 1908,"(1.6, 1.8]"
2017-12-02,611,14,-0.49634064879806916,35,1.3,1955,-7.1,0.4547048963804726,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(1.1, 1.3]"
2017-12-02,589,15,-0.4720316660352282,41,2.3,1953,-4.8,0.1725793965487835,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(2.2, 2.6]"
2017-12-02,618,16,-0.5692675970865919,48,2.6,1945,-3.8,-0.41424164310112993,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(2.2, 2.6]"
2017-12-02,572,17,-0.6016795741037132,51,2.5,1891,-3.3,-0.5948019629934109,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1741 - 1908,,1741 - 1908,"(2.2, 2.6]"
2017-12-02,489,18,-0.6421945453751147,53,1.5,1697,-3.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1464 - 1741,,1464 - 1741,"(1.3, 1.6]"
2017-12-02,385,19,-0.6827095166465162,52,0.6,1666,-4.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1464 - 1741,,1464 - 1741,"(-0.001, 0.6]"
2017-12-02,359,20,-0.7151214936636375,51,1.2,1585,-4.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1464 - 1741,,1464 - 1741,"(1.1, 1.3]"
2017-12-02,377,21,-0.7556364649350391,55,1.2,1448,-4.1,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.1, 1.3]"
2017-12-02,354,22,-0.8042544304607209,54,1.5,1446,-4.9,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.3, 1.6]"
2017-12-02,366,23,-0.7637394591893193,56,1.0,1352,-4.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(0.9, 1.1]"
2017-12-03,342,0,-0.7637394591893193,58,1.4,1296,-3.5,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(1.3, 1.6]"
2017-12-03,227,1,-0.7718424534435996,69,1.4,485,-1.2,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,452 - 804,,452 - 804,"(1.3, 1.6]"
2017-12-03,228,2,-0.8204604189692815,79,1.4,830,0.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,804 - 1134,,804 - 1134,"(1.3, 1.6]"
2017-12-03,117,3,-0.8123574247150012,71,1.6,1011,-1.3,-0.6625120829530163,0.5,0.0,Winter,No Holiday,Yes,12,1,0,804 - 1134,,804 - 1134,"(1.3, 1.6]"
2017-12-03,76,4,-0.5692675970865919,73,1.0,1060,-0.8,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,804 - 1134,,804 - 1134,"(0.9, 1.1]"
2017-12-03,32,5,-0.7718424534435996,75,1.9,914,-0.1,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,804 - 1134,,804 - 1134,"(1.8, 2.2]"
2017-12-03,13,6,-0.8123574247150012,86,2.5,278,1.2,-0.6625120829530163,1.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(2.2, 2.6]"
2017-12-03,22,7,-0.8366664074778422,91,1.2,129,1.7,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.1, 1.3]"
2017-12-03,85,8,-0.8285634132235619,92,1.8,244,2.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.6, 1.8]"
2017-12-03,152,9,-0.8042544304607209,91,1.8,231,2.1,-0.6399420429664812,2.5,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.6, 1.8]"
2017-12-03,200,10,-0.7313274821721981,89,2.2,257,2.7,-0.39167160311459476,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.8, 2.2]"
2017-12-03,273,11,-0.674606522392236,87,1.4,321,3.1,-0.38038658312132717,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.3, 1.6]"
2017-12-03,333,12,-0.52064963156091,85,1.7,349,3.4,-0.17725622324251103,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.6, 1.8]"
2017-12-03,495,13,-0.5368556200694707,81,1.9,390,3.7,0.01458911664303757,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.8, 2.2]"
2017-12-03,563,14,-0.4720316660352282,76,1.2,422,3.6,0.11615429658244562,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.1, 1.3]"
2017-12-03,621,15,-0.439619689018107,73,1.6,433,3.4,-0.06440602330983533,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.3, 1.6]"
2017-12-03,598,16,-0.4720316660352282,77,1.6,399,3.8,-0.436811683087665,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.3, 1.6]"
2017-12-03,545,17,-0.544958614323751,82,1.5,358,3.8,-0.6060869829866784,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.3, 1.6]"
2017-12-03,443,18,-0.6016795741037132,84,1.9,327,3.4,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.8, 2.2]"
2017-12-03,422,19,-0.6259885568665541,85,1.7,309,3.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.6, 1.8]"
2017-12-03,397,20,-0.6665035281379557,87,1.4,253,3.2,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.3, 1.6]"
2017-12-03,385,21,-0.7070184994093572,87,1.2,247,2.7,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.1, 1.3]"
2017-12-03,350,22,-0.7394304764264784,89,1.8,201,2.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.6, 1.8]"
2017-12-03,303,23,-0.7718424534435996,90,1.3,194,2.4,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.1, 1.3]"
2017-12-04,285,0,-0.7475334706807588,88,0.6,216,2.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(-0.001, 0.6]"
2017-12-04,186,1,-0.7394304764264784,87,1.2,221,2.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.1, 1.3]"
2017-12-04,112,2,-0.7313274821721981,87,1.8,207,2.4,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.6, 1.8]"
2017-12-04,65,3,-0.7961514362064406,85,2.3,206,1.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(2.2, 2.6]"
2017-12-04,41,4,-0.860975390240683,89,1.5,130,1.1,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(1.3, 1.6]"
2017-12-04,82,5,-0.9257993442749255,83,2.7,253,-0.5,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(2.6, 3.2]"
2017-12-04,200,6,-0.9906232983091681,76,3.7,371,-2.5,-0.6625120829530163,0.1,0.0,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(3.2, 7.4]"
2017-12-04,498,7,-1.0716532408519712,68,3.4,702,-5.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,452 - 804,,452 - 804,"(3.2, 7.4]"
2017-12-04,937,8,-1.1526831833947742,69,3.5,954,-5.7,-0.6512270629597487,0.0,0.0,Winter,No Holiday,Yes,12,1,0,804 - 1134,,804 - 1134,"(3.2, 7.4]"
2017-12-04,509,9,-1.2094041431747364,47,4.2,1888,-11.3,-0.41424164310112993,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1741 - 1908,,1741 - 1908,"(3.2, 7.4]"
2017-12-04,311,10,-1.176992166157615,40,4.5,2000,-13.0,0.05972919661610787,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(3.2, 7.4]"
2017-12-04,379,11,-1.1283742006319333,41,4.1,1799,-12.1,0.39827979641413475,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1741 - 1908,,1741 - 1908,"(3.2, 7.4]"
2017-12-04,393,12,-1.1121682121233727,38,4.8,1823,-12.9,0.5901251362996836,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1741 - 1908,,1741 - 1908,"(3.2, 7.4]"
2017-12-04,391,13,-1.0878592293605318,30,1.5,1938,-15.5,0.6578352562592887,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(1.3, 1.6]"
2017-12-04,338,14,-1.0797562351062515,27,4.5,2000,-16.7,0.5675550963131484,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(3.2, 7.4]"
2017-12-04,341,15,-1.0959622236148119,25,5.8,2000,-17.8,0.3305696764545294,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(3.2, 7.4]"
2017-12-04,375,16,-1.0473442580891301,23,1.4,2000,-18.8,-0.04183598332330018,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.3, 1.6]"
2017-12-04,515,17,-1.1931981546661758,26,5.3,2000,-18.3,-0.45938172307420017,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(3.2, 7.4]"
2017-12-04,807,18,-1.2580221087004182,29,2.0,2000,-17.7,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.8, 2.2]"
2017-12-04,568,19,-1.176992166157615,32,3.2,2000,-17.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.6, 3.2]"
2017-12-04,398,20,-1.379567022514623,38,3.0,2000,-15.8,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.6, 3.2]"
2017-12-04,397,21,-1.460596965057426,43,4.5,2000,-15.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(3.2, 7.4]"
2017-12-04,353,22,-1.5173179248373883,45,2.5,2000,-15.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.2, 2.6]"
2017-12-04,248,23,-1.5578328961087897,44,4.5,2000,-16.1,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(3.2, 7.4]"
2017-12-05,216,0,-1.5821418788716306,42,2.6,2000,-16.9,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.2, 2.6]"
2017-12-05,198,1,-1.6145538558887518,41,1.8,2000,-17.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.6, 1.8]"
2017-12-05,124,2,-1.6388628386515929,41,2.5,2000,-17.8,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.2, 2.6]"
2017-12-05,62,3,-1.646965832905873,39,2.0,2000,-18.5,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.8, 2.2]"
2017-12-05,42,4,-1.9872915915856462,34,3.0,2000,-20.4,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.6, 3.2]"
2017-12-05,82,5,-1.6874808041772744,33,2.6,2000,-20.9,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.2, 2.6]"
2017-12-05,172,6,-1.6874808041772744,34,3.2,2000,-20.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.6, 3.2]"
2017-12-05,381,7,-1.695583798431555,33,2.2,2000,-21.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.8, 2.2]"
2017-12-05,812,8,-1.744201763957237,36,1.6,2000,-20.5,-0.6512270629597487,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.3, 1.6]"
2017-12-05,462,9,-1.7036867926858352,31,1.3,1974,-21.8,-0.42552666309439746,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(1.1, 1.3]"
2017-12-05,269,10,-1.5335239133459486,26,2.8,1967,-22.0,0.05972919661610787,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(2.6, 3.2]"
2017-12-05,334,11,-1.695583798431555,25,0.0,1959,-21.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(-0.001, 0.6]"
2017-12-05,321,12,-1.2742280972089788,25,0.0,1962,-19.7,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(-0.001, 0.6]"
2017-12-05,325,13,-1.2175071374290167,27,0.0,1955,-18.2,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(-0.001, 0.6]"
2017-12-05,334,14,-1.176992166157615,28,0.0,2000,-17.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(-0.001, 0.6]"
2017-12-05,353,15,-1.1445801891404939,28,0.0,2000,-16.9,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(-0.001, 0.6]"
2017-12-05,435,16,-1.1283742006319333,30,0.0,2000,-16.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(-0.001, 0.6]"
2017-12-05,529,17,-1.2175071374290167,35,0.0,2000,-15.1,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(-0.001, 0.6]"
2017-12-05,789,18,-1.2985370799718199,40,0.0,2000,-14.4,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(-0.001, 0.6]"
2017-12-05,597,19,-1.3471550454975016,45,0.0,2000,-13.5,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(-0.001, 0.6]"
2017-12-05,418,20,-1.3714640282603425,46,0.0,2000,-13.4,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(-0.001, 0.6]"
2017-12-05,415,21,-1.3876700167689031,47,0.0,2000,-13.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(-0.001, 0.6]"
2017-12-05,393,22,-1.3147430684803805,49,2.7,2000,-12.0,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(2.6, 3.2]"
2017-12-05,244,23,-1.2904340857175394,59,0.0,1210,-9.4,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(-0.001, 0.6]"
2017-12-06,145,0,-1.3147430684803805,77,0.0,331,-6.2,-0.6625120829530163,0.1,0.1,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(-0.001, 0.6]"
2017-12-06,144,1,-0.9906232983091681,79,0.0,293,-6.1,-0.6625120829530163,0.0,0.3,Winter,No Holiday,Yes,12,1,0,27 - 452,,27 - 452,"(-0.001, 0.6]"
2017-12-06,117,2,-1.330949056988941,79,0.0,1862,-6.1,-0.6625120829530163,0.0,0.4,Winter,No Holiday,Yes,12,1,0,1741 - 1908,,1741 - 1908,"(-0.001, 0.6]"
2017-12-06,78,3,-1.3471550454975016,78,0.0,1808,-6.4,-0.6625120829530163,0.2,0.4,Winter,No Holiday,Yes,12,1,0,1741 - 1908,,1741 - 1908,"(-0.001, 0.6]"
2017-12-06,58,4,-1.363361034006062,75,0.0,1982,-7.2,-0.6625120829530163,0.0,0.4,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(-0.001, 0.6]"
2017-12-06,87,5,-1.2256101316832968,76,0.0,1934,-7.2,-0.6625120829530163,0.0,0.4,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(-0.001, 0.6]"
2017-12-06,142,6,-1.3876700167689031,76,0.0,1864,-7.3,-0.6625120829530163,0.0,0.4,Winter,No Holiday,Yes,12,1,0,1741 - 1908,,1741 - 1908,"(-0.001, 0.6]"
2017-12-06,379,7,-1.4281849880403046,77,0.0,1741,-7.6,-0.6625120829530163,0.0,0.3,Winter,No Holiday,Yes,12,1,0,1464 - 1741,,1464 - 1741,"(-0.001, 0.6]"
2017-12-06,802,8,-1.4281849880403046,78,0.0,1518,-7.4,-0.6512270629597487,0.0,0.2,Winter,No Holiday,Yes,12,1,0,1464 - 1741,,1464 - 1741,"(-0.001, 0.6]"
2017-12-06,440,9,-1.355258039751782,70,1.0,1324,-7.9,-0.38038658312132717,0.0,0.2,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(0.9, 1.1]"
2017-12-06,307,10,-1.1607861776490545,64,0.0,1224,-6.8,0.04844417662284029,0.0,0.2,Winter,No Holiday,Yes,12,1,0,1134 - 1464,,1134 - 1464,"(-0.001, 0.6]"
